locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDJNIECG_00756	CDS	495				hypothetical protein
DDJNIECG_00757	CDS	582	rsbRD_1			RsbT co-antagonist protein RsbRD
DDJNIECG_00758	CDS	285	yezB		COG1366	putative protein YezB
DDJNIECG_00759	CDS	168				hypothetical protein
DDJNIECG_00760	CDS	645	yetJ		COG0670	putative protein YetJ
DDJNIECG_00761	CDS	927				hypothetical protein
DDJNIECG_00762	CDS	504				hypothetical protein
DDJNIECG_00763	CDS	1110	hpxO	1.14.13.113	COG0654	FAD-dependent urate hydroxylase
DDJNIECG_00764	CDS	1071				hypothetical protein
DDJNIECG_00765	CDS	3186	cypD		COG0369	Bifunctional cytochrome P450/NADPH--P450 reductase 1
DDJNIECG_00766	CDS	1962	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
DDJNIECG_00767	CDS	765	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
DDJNIECG_00768	CDS	903	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
DDJNIECG_00769	CDS	912				hypothetical protein
DDJNIECG_00770	CDS	1179				hypothetical protein
DDJNIECG_00771	CDS	936				hypothetical protein
DDJNIECG_00772	CDS	1230	fsr			Fosmidomycin resistance protein
DDJNIECG_00773	CDS	708	yfnB	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
DDJNIECG_00774	CDS	1386	yhdG_1		COG0531	putative amino acid permease YhdG
DDJNIECG_00775	CDS	1458	yfmT	1.2.1.3	COG1012	Putative aldehyde dehydrogenase YfmT
DDJNIECG_00776	CDS	855	yfmS		COG0840	Putative sensory transducer protein YfmS
DDJNIECG_00777	CDS	1890	uup		COG0488	ABC transporter ATP-binding protein uup
DDJNIECG_00778	CDS	447				hypothetical protein
DDJNIECG_00779	CDS	423	yfmP		COG0789	HTH-type transcriptional regulator YfmP
DDJNIECG_00780	CDS	1191	yfmO			Multidrug efflux protein YfmO
DDJNIECG_00781	CDS	1557	ybiT_2		COG0488	putative ABC transporter ATP-binding protein YbiT
DDJNIECG_00782	CDS	1131	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
DDJNIECG_00783	CDS	447				hypothetical protein
DDJNIECG_00784	CDS	1020	yfmJ	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
DDJNIECG_00785	CDS	1221				hypothetical protein
DDJNIECG_00786	CDS	1464	egtB	1.14.99.-		Hercynine oxygenase
DDJNIECG_00787	CDS	801	yusV_2		COG1120	putative siderophore transport system ATP-binding protein YusV
DDJNIECG_00788	CDS	1002	fecD		COG0609	Fe(3+) dicitrate transport system permease protein FecD
DDJNIECG_00789	CDS	1002	yfiZ_1		COG0609	putative siderophore transport system permease protein YfiZ
DDJNIECG_00790	CDS	948	yfmC		COG4594	Fe(3+)-citrate-binding protein YfmC
DDJNIECG_00791	CDS	411	yfmB			putative protein YfmB
DDJNIECG_00792	CDS	348	yflT			General stress protein 17M
DDJNIECG_00793	CDS	1263	pel	4.2.2.2	COG3866	Pectate lyase
DDJNIECG_00794	CDS	1437	yflS		COG0471	Putative malate transporter YflS
DDJNIECG_00795	CDS	1629	citS	2.7.13.3	COG3290	Sensor protein CitS
DDJNIECG_00796	CDS	681	citT		COG4565	Transcriptional regulatory protein CitT
DDJNIECG_00797	CDS	960				hypothetical protein
DDJNIECG_00798	CDS	126				hypothetical protein
DDJNIECG_00799	CDS	1302	citM		COG2851	Mg(2+)/citrate complex secondary transporter
DDJNIECG_00800	CDS	795	yflN	3.-.-.-	COG0491	putative metallo-hydrolase YflN
DDJNIECG_00801	CDS	1092	nos	1.14.14.47	COG4362	Nitric oxide synthase oxygenase
DDJNIECG_00802	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
DDJNIECG_00803	CDS	666	yiiM		COG2258	Protein YiiM
DDJNIECG_00804	CDS	138				hypothetical protein
DDJNIECG_00805	CDS	156				hypothetical protein
DDJNIECG_00806	CDS	315	yflH_1			putative protein YflH
DDJNIECG_00807	CDS	750	mapB	3.4.11.18	COG0024	Methionine aminopeptidase 2
DDJNIECG_00808	CDS	1359	nagE		COG1263	PTS system N-acetylglucosamine-specific EIICBA component
DDJNIECG_00809	CDS	1950	ltaS2_1		COG1368	Lipoteichoic acid synthase 2
DDJNIECG_00810	CDS	393				hypothetical protein
DDJNIECG_00811	CDS	1416	alsT_2		COG1115	Amino-acid carrier protein AlsT
DDJNIECG_00812	CDS	1077				hypothetical protein
DDJNIECG_00813	CDS	201				hypothetical protein
DDJNIECG_00814	CDS	1155	gerBC_2			Spore germination protein B3
DDJNIECG_00815	CDS	1542	gerAA_1			Spore germination protein A1
DDJNIECG_00816	CDS	1413	treP		COG1263	PTS system trehalose-specific EIIBC component
DDJNIECG_00817	CDS	1686	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
DDJNIECG_00818	CDS	717	treR		COG2188	HTH-type transcriptional regulator TreR
DDJNIECG_00819	CDS	666	yfkO	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YfkO
DDJNIECG_00820	CDS	4389	yfkN		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
DDJNIECG_00821	CDS	519	yfkM	3.2.-.-	COG0693	General stress protein 18
DDJNIECG_00822	CDS	1191	ydiN			Inner membrane transport protein YdiN
DDJNIECG_00823	CDS	216				hypothetical protein
DDJNIECG_00824	CDS	471	yfkJ	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase YfkJ
DDJNIECG_00825	CDS	321				hypothetical protein
DDJNIECG_00826	CDS	828				hypothetical protein
DDJNIECG_00827	CDS	108				hypothetical protein
DDJNIECG_00828	CDS	1176	ycaD			putative MFS-type transporter YcaD
DDJNIECG_00829	CDS	1056	chaA		COG0387	Ca(2+)/H(+) antiporter ChaA
DDJNIECG_00830	CDS	792	yfkD			putative protein YfkD
DDJNIECG_00831	CDS	837	yfkC		COG0668	putative MscS family protein YfkC
DDJNIECG_00832	CDS	1122	queE_1	4.3.99.3		7-carboxy-7-deazaguanine synthase
DDJNIECG_00833	CDS	186				hypothetical protein
DDJNIECG_00834	CDS	792	pdaA_2	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
DDJNIECG_00835	CDS	861	mmsB	1.1.1.31	COG2084	3-hydroxyisobutyrate dehydrogenase
DDJNIECG_00836	CDS	960	corA_1		COG0598	Cobalt/magnesium transport protein CorA
DDJNIECG_00837	CDS	864				hypothetical protein
DDJNIECG_00838	CDS	1401	rlmCD_2	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
DDJNIECG_00839	CDS	267				hypothetical protein
DDJNIECG_00840	CDS	978	dus_2	1.3.1.-		putative tRNA-dihydrouridine synthase
DDJNIECG_00841	CDS	453				hypothetical protein
DDJNIECG_00842	CDS	690				hypothetical protein
DDJNIECG_00843	CDS	1002	acoA	1.1.1.-	COG1071	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha
DDJNIECG_00844	CDS	1029	acoB	1.1.1.-	COG0022	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit beta
DDJNIECG_00845	CDS	1197	pdhC_1	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
DDJNIECG_00846	CDS	1377	pdhD_1	1.8.1.4		Dihydrolipoyl dehydrogenase
DDJNIECG_00847	CDS	1818	acoR		COG3284	Acetoin dehydrogenase operon transcriptional activator AcoR
DDJNIECG_00848	CDS	180	sspH			Small, acid-soluble spore protein H
DDJNIECG_00849	CDS	330				hypothetical protein
DDJNIECG_00850	CDS	543				hypothetical protein
DDJNIECG_00851	CDS	558				hypothetical protein
DDJNIECG_00852	CDS	768				hypothetical protein
DDJNIECG_00853	CDS	1224				hypothetical protein
DDJNIECG_00854	CDS	315				hypothetical protein
DDJNIECG_00855	CDS	1350	glvA	3.2.1.122	COG1486	Maltose-6'-phosphate glucosidase
DDJNIECG_00856	CDS	765	glvR		COG1737	HTH-type transcriptional regulator GlvR
DDJNIECG_00857	CDS	1584	malP_1		COG1263	PTS system maltose-specific EIICB component
DDJNIECG_00858	CDS	1722			COG1132	putative ABC transporter ATP-binding protein
DDJNIECG_00859	CDS	1815			COG1132	putative ABC transporter ATP-binding protein
DDJNIECG_00860	CDS	405	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
DDJNIECG_00861	CDS	858	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
DDJNIECG_00862	CDS	945	rhaR_2			HTH-type transcriptional activator RhaR
DDJNIECG_00863	CDS	1449	iolT_1			Major myo-inositol transporter IolT
DDJNIECG_00864	CDS	942				hypothetical protein
DDJNIECG_00865	CDS	1179	iolG_1	1.1.1.18		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
DDJNIECG_00866	CDS	117				hypothetical protein
DDJNIECG_00867	CDS	1152				hypothetical protein
DDJNIECG_00868	CDS	663	degU_2		COG2197	Transcriptional regulatory protein DegU
DDJNIECG_00869	CDS	936	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
DDJNIECG_00870	CDS	1191				hypothetical protein
DDJNIECG_00871	CDS	1158	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
DDJNIECG_00872	CDS	549				hypothetical protein
DDJNIECG_00873	CDS	633	estB	3.1.1.3		Extracellular esterase EstB
DDJNIECG_00874	CDS	1089				hypothetical protein
DDJNIECG_00875	CDS	618	yfiR			putative HTH-type transcriptional regulator YfiR
DDJNIECG_00876	CDS	1254	mdtG_1			Multidrug resistance protein MdtG
DDJNIECG_00877	CDS	537	yfiT	3.-.-.-		Putative metal-dependent hydrolase YfiT
DDJNIECG_00878	CDS	1557	bmr3_2			Multidrug resistance protein 3
DDJNIECG_00879	CDS	483				hypothetical protein
DDJNIECG_00880	CDS	2571	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
DDJNIECG_00881	CDS	978	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
DDJNIECG_00882	CDS	1002	yfiZ_2		COG0609	putative siderophore transport system permease protein YfiZ
DDJNIECG_00883	CDS	1032	yfhA		COG0609	putative siderophore transport system permease protein YfhA
DDJNIECG_00884	CDS	882	yddE	5.1.-.-	COG0384	putative isomerase YddE
DDJNIECG_00885	CDS	585	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
DDJNIECG_00886	CDS	192				hypothetical protein
DDJNIECG_00887	CDS	111				hypothetical protein
DDJNIECG_00888	CDS	912				Epimerase family protein
DDJNIECG_00889	CDS	795	recX			Regulatory protein RecX
DDJNIECG_00890	CDS	315	yfhH			putative protein YfhH
DDJNIECG_00891	CDS	105				hypothetical protein
DDJNIECG_00892	CDS	1194	ydhP_1		COG2814	Inner membrane transport protein YdhP
DDJNIECG_00893	CDS	153	sspK			Small, acid-soluble spore protein K
DDJNIECG_00894	CDS	270				hypothetical protein
DDJNIECG_00895	CDS	519				hypothetical protein
DDJNIECG_00896	CDS	393				hypothetical protein
DDJNIECG_00897	CDS	861	ephA	3.3.2.10		Epoxide hydrolase A
DDJNIECG_00898	CDS	990	csbB	2.4.-.-	COG0463	Putative glycosyltransferase CsbB
DDJNIECG_00899	CDS	2586				hypothetical protein
DDJNIECG_00900	CDS	984	yfhP		COG1988	putative protein YfhP
DDJNIECG_00901	CDS	1314	mutY	3.2.2.-	COG1194	Adenine DNA glycosylase
DDJNIECG_00902	CDS	225	yfhS			putative protein YfhS
DDJNIECG_00903	CDS	753	fabL	1.3.1.104		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabL
DDJNIECG_00904	CDS	255	sspE			Small, acid-soluble spore protein gamma-type
DDJNIECG_00905	CDS	261				hypothetical protein
DDJNIECG_00906	CDS	531				hypothetical protein
DDJNIECG_00907	CDS	1743		3.6.3.-		Putative multidrug export ATP-binding/permease protein
DDJNIECG_00908	CDS	1110				hypothetical protein
DDJNIECG_00909	CDS	1290	hemL1	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase 1
DDJNIECG_00910	CDS	474	bcp	1.11.1.15	COG1225	Putative peroxiredoxin bcp
DDJNIECG_00911	CDS	438	perR		COG0735	Peroxide operon regulator
DDJNIECG_00912	CDS	354				hypothetical protein
DDJNIECG_00913	CDS	885				hypothetical protein
DDJNIECG_00914	CDS	255				hypothetical protein
DDJNIECG_00915	tRNA	75				tRNA-Asn(gtt)
DDJNIECG_00916	tRNA	92				tRNA-Ser(gga)
DDJNIECG_00917	tRNA	72				tRNA-Glu(ttc)
DDJNIECG_00918	tRNA	76				tRNA-Val(tac)
DDJNIECG_00919	tRNA	77				tRNA-Met(cat)
DDJNIECG_00920	tRNA	77				tRNA-Asp(gtc)
DDJNIECG_00921	tRNA	76				tRNA-Phe(gaa)
DDJNIECG_00922	tRNA	74				tRNA-Thr(tgt)
DDJNIECG_00923	tRNA	85				tRNA-Tyr(gta)
DDJNIECG_00924	tRNA	74				tRNA-Trp(cca)
DDJNIECG_00925	tRNA	76				tRNA-His(gtg)
DDJNIECG_00926	tRNA	75				tRNA-Gln(ttg)
DDJNIECG_00927	tRNA	75				tRNA-Gly(gcc)
DDJNIECG_00928	tRNA	71				tRNA-Cys(gca)
DDJNIECG_00929	tRNA	89				tRNA-Leu(taa)
DDJNIECG_00930	tRNA	84				tRNA-Leu(caa)
DDJNIECG_00931	CDS	777	spo0M		COG4326	Sporulation-control protein spo0M
DDJNIECG_00932	CDS	198				hypothetical protein
DDJNIECG_00933	CDS	696				hypothetical protein
DDJNIECG_00934	CDS	1773	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
DDJNIECG_00935	CDS	1356	yvdP_1	1.21.-.-	COG0277	putative FAD-linked oxidoreductase YvdP
DDJNIECG_00936	CDS	198				hypothetical protein
DDJNIECG_00937	CDS	1452	katA_1	1.11.1.6	COG0753	Vegetative catalase
DDJNIECG_00938	CDS	897	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
DDJNIECG_00939	CDS	999	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
DDJNIECG_00940	CDS	831	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
DDJNIECG_00941	CDS	1131	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
DDJNIECG_00942	CDS	507				hypothetical protein
DDJNIECG_00943	CDS	270	rpsN2		COG0199	Alternate 30S ribosomal protein S14
DDJNIECG_00944	CDS	474				hypothetical protein
DDJNIECG_00945	CDS	204				hypothetical protein
DDJNIECG_00946	tRNA	74				tRNA-Gly(tcc)
DDJNIECG_00947	CDS	624				hypothetical protein
DDJNIECG_00948	CDS	1161	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
DDJNIECG_00949	CDS	924				hypothetical protein
DDJNIECG_00950	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
DDJNIECG_00951	CDS	642				hypothetical protein
DDJNIECG_00952	CDS	714				hypothetical protein
DDJNIECG_00953	CDS	708				hypothetical protein
DDJNIECG_00954	CDS	1896				hypothetical protein
DDJNIECG_00955	CDS	1179				hypothetical protein
DDJNIECG_00956	CDS	465				hypothetical protein
DDJNIECG_00957	CDS	633	aaeA			p-hydroxybenzoic acid efflux pump subunit AaeA
DDJNIECG_00958	CDS	1599	emrB			Multidrug export protein EmrB
DDJNIECG_00959	CDS	531	pnpB	1.6.5.6		p-benzoquinone reductase
DDJNIECG_00960	CDS	375				hypothetical protein
DDJNIECG_00961	CDS	762				hypothetical protein
DDJNIECG_00962	CDS	366	ytrA_1		COG1725	HTH-type transcriptional repressor YtrA
DDJNIECG_00963	CDS	699	opuCA_1		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
DDJNIECG_00964	CDS	918	btuD_2	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
DDJNIECG_00965	CDS	942				hypothetical protein
DDJNIECG_00966	CDS	204	cspB		COG1278	Cold shock protein CspB
DDJNIECG_00967	CDS	831	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
DDJNIECG_00968	CDS	1080				hypothetical protein
DDJNIECG_00969	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
DDJNIECG_00970	CDS	456				hypothetical protein
DDJNIECG_00971	CDS	570	yhcN			Lipoprotein YhcN
DDJNIECG_00972	CDS	969				hypothetical protein
DDJNIECG_00973	CDS	654				hypothetical protein
DDJNIECG_00974	CDS	3588	yhcR	3.1.31.-	COG0737	Endonuclease YhcR
DDJNIECG_00975	CDS	597				hypothetical protein
DDJNIECG_00976	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
DDJNIECG_00977	CDS	396				hypothetical protein
DDJNIECG_00978	CDS	423	hrp1_1			Hypoxic response protein 1
DDJNIECG_00979	CDS	663	cbbY	3.1.3.-	COG0637	Protein CbbY
DDJNIECG_00980	CDS	1542				hypothetical protein
DDJNIECG_00981	CDS	1338	tpa	2.6.1.77	COG0161	Taurine--pyruvate aminotransferase
DDJNIECG_00982	CDS	576	glpP		COG1954	Glycerol uptake operon antiterminator regulatory protein
DDJNIECG_00983	CDS	825	glpF		COG0580	Glycerol uptake facilitator protein
DDJNIECG_00984	CDS	1491	glpK	2.7.1.30	COG0554	Glycerol kinase
DDJNIECG_00985	CDS	1665	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
DDJNIECG_00986	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
DDJNIECG_00987	CDS	1140				hypothetical protein
DDJNIECG_00988	CDS	645	liaR_1		COG2197	Transcriptional regulatory protein LiaR
DDJNIECG_00989	CDS	525	azr	1.7.-.-	COG0431	FMN-dependent NADPH-azoreductase
DDJNIECG_00990	CDS	243				hypothetical protein
DDJNIECG_00991	CDS	324				hypothetical protein
DDJNIECG_00992	CDS	1467	lytF	3.4.-.-	COG0791	Peptidoglycan endopeptidase LytF
DDJNIECG_00993	CDS	441	nsrR		COG1959	HTH-type transcriptional repressor NsrR
DDJNIECG_00994	CDS	1527				hypothetical protein
DDJNIECG_00995	CDS	1407				hypothetical protein
DDJNIECG_00996	CDS	1377	phoA	3.1.3.1	COG1785	Alkaline phosphatase 4
DDJNIECG_00997	CDS	1005	lytE	3.4.-.-		putative peptidoglycan endopeptidase LytE
DDJNIECG_00998	CDS	876	cysL_1		COG0583	HTH-type transcriptional regulator CysL
DDJNIECG_00999	CDS	1101	citA	2.3.3.16	COG0372	Citrate synthase 1
DDJNIECG_01000	CDS	870	ydaD_2	1.-.-.-		General stress protein 39
DDJNIECG_01001	CDS	1398	yhdG_2		COG0531	putative amino acid permease YhdG
DDJNIECG_01002	CDS	1356				hypothetical protein
DDJNIECG_01003	CDS	1410	gabR_4		COG1167	HTH-type transcriptional regulatory protein GabR
DDJNIECG_01004	CDS	429				hypothetical protein
DDJNIECG_01005	CDS	291	yhdK			putative anti-sigma-M factor YhdK
DDJNIECG_01006	CDS	1074	yhdL			putative anti-sigma-M factor YhdL
DDJNIECG_01007	CDS	492	sigM_1		COG1595	ECF RNA polymerase sigma factor SigM
DDJNIECG_01008	CDS	996	yhdN	1.1.1.-	COG0667	Aldo-keto reductase YhdN
DDJNIECG_01009	CDS	600	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
DDJNIECG_01010	CDS	1335				hypothetical protein
DDJNIECG_01011	CDS	546				hypothetical protein
DDJNIECG_01012	CDS	1182	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
DDJNIECG_01013	CDS	1386				hypothetical protein
DDJNIECG_01014	CDS	357	crcB_1		COG0239	Putative fluoride ion transporter CrcB
DDJNIECG_01015	CDS	396	crcB_2			Putative fluoride ion transporter CrcB
DDJNIECG_01016	CDS	732	glpQ_2	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
DDJNIECG_01017	CDS	108				hypothetical protein
DDJNIECG_01018	CDS	1116				hypothetical protein
DDJNIECG_01019	CDS	744	cobB	3.5.1.-	COG0846	NAD-dependent protein deacetylase
DDJNIECG_01020	CDS	849				hypothetical protein
DDJNIECG_01021	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
DDJNIECG_01022	CDS	1362	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
DDJNIECG_01023	CDS	501	nhaX		COG0589	Stress response protein NhaX
DDJNIECG_01024	CDS	1758	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
DDJNIECG_01025	CDS	2022	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
DDJNIECG_01026	CDS	621				hypothetical protein
DDJNIECG_01027	CDS	204				Small, acid-soluble spore protein 1
DDJNIECG_01028	CDS	210				hypothetical protein
DDJNIECG_01029	CDS	1362	yheD			Endospore coat-associated protein YheD
DDJNIECG_01030	CDS	1092				hypothetical protein
DDJNIECG_01031	CDS	1134				hypothetical protein
DDJNIECG_01032	CDS	354				hypothetical protein
DDJNIECG_01033	CDS	1074	yhaZ		COG4335	putative protein YhaZ
DDJNIECG_01034	CDS	867	yhaX		COG0561	Stress response protein YhaX
DDJNIECG_01035	CDS	1506	hemZ	1.3.99.-	COG0635	Oxygen-independent coproporphyrinogen-III oxidase-like protein HemZ
DDJNIECG_01036	CDS	1218	khtU		COG0475	K(+)/H(+) antiporter subunit KhtU
DDJNIECG_01037	CDS	498	khtT_1		COG0490	K(+)/H(+) antiporter subunit KhtT
DDJNIECG_01038	CDS	318	khtS			K(+)/H(+) antiporter modulator KhtS
DDJNIECG_01039	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
DDJNIECG_01040	CDS	186				hypothetical protein
DDJNIECG_01041	CDS	897	btuD_3	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
DDJNIECG_01042	CDS	1260	yhaP		COG1668	putative protein YhaP
DDJNIECG_01043	CDS	1224	yhaO		COG0420	putative metallophosphoesterase YhaO
DDJNIECG_01044	CDS	2883	yhaN		COG4717	putative protein YhaN
DDJNIECG_01045	CDS	945	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
DDJNIECG_01046	CDS	213	yhaL			Sporulation protein YhaL
DDJNIECG_01047	CDS	879	prsA	5.2.1.8	COG0760	Foldase protein PrsA
DDJNIECG_01048	CDS	519				hypothetical protein
DDJNIECG_01049	CDS	333	yhaI			putative protein YhaI
DDJNIECG_01050	CDS	612	hpr		COG1846	HTH-type transcriptional regulator Hpr
DDJNIECG_01051	CDS	402				hypothetical protein
DDJNIECG_01052	CDS	519	trpP			putative tryptophan transport protein
DDJNIECG_01053	CDS	1080	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
DDJNIECG_01054	CDS	438	hit		COG0537	Protein hit
DDJNIECG_01055	CDS	744	ecsA_1		COG1131	ABC-type transporter ATP-binding protein EcsA
DDJNIECG_01056	CDS	1227				hypothetical protein
DDJNIECG_01057	CDS	711				hypothetical protein
DDJNIECG_01058	CDS	1191		3.5.1.47		N-acetyldiaminopimelate deacetylase
DDJNIECG_01059	CDS	1389				hypothetical protein
DDJNIECG_01060	CDS	315				hypothetical protein
DDJNIECG_01061	CDS	501	hmoB	1.14.14.18	COG2329	Heme-degrading monooxygenase HmoB
DDJNIECG_01062	CDS	2145	pbpF		COG0744	Penicillin-binding protein 1F
DDJNIECG_01063	CDS	1062	hemE	4.1.1.37	COG0407	Uroporphyrinogen decarboxylase
DDJNIECG_01064	CDS	933	hemH	4.99.1.1	COG0276	Ferrochelatase
DDJNIECG_01065	CDS	1413	hemY	1.3.3.4	COG1232	Protoporphyrinogen oxidase
DDJNIECG_01066	CDS	576				hypothetical protein
DDJNIECG_01067	CDS	2328	smc_1			Chromosome partition protein Smc
DDJNIECG_01068	CDS	978	fabHB	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 2
DDJNIECG_01069	CDS	777				hypothetical protein
DDJNIECG_01070	CDS	1041	ysdC_1	3.4.11.-	COG1363	Putative aminopeptidase YsdC
DDJNIECG_01071	CDS	408				hypothetical protein
DDJNIECG_01072	CDS	1290	gltT			Proton/sodium-glutamate symport protein
DDJNIECG_01073	CDS	735			COG1234	putative protein
DDJNIECG_01074	CDS	996	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
DDJNIECG_01075	CDS	645	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
DDJNIECG_01076	CDS	1542	lcfB_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
DDJNIECG_01077	CDS	396				hypothetical protein
DDJNIECG_01078	CDS	1281	htpX_1	3.4.24.-		Protease HtpX
DDJNIECG_01079	CDS	1146	aprE	3.4.21.62	COG1404	Subtilisin E
DDJNIECG_01080	CDS	450				hypothetical protein
DDJNIECG_01081	CDS	993	yhfP	1.6.5.-	COG0604	Putative quinone oxidoreductase YhfP
DDJNIECG_01082	CDS	972	yhfQ		COG4594	Putative ABC transporter substrate-binding lipoprotein YhfQ
DDJNIECG_01083	CDS	582	pspA	3.1.3.3	COG0406	Phosphoserine phosphatase 1
DDJNIECG_01084	CDS	1095	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
DDJNIECG_01085	CDS	1440	yhfT	6.2.1.-	COG0318	putative acyl--CoA ligase YhfT
DDJNIECG_01086	CDS	561	bioY_1		COG1268	putative biotin transporter BioY
DDJNIECG_01087	CDS	1299	hemAT		COG0840	Heme-based aerotactic transducer HemAT
DDJNIECG_01088	CDS	1530	petC_1	1.10.9.1		Cytochrome b6-f complex iron-sulfur subunit
DDJNIECG_01089	CDS	858	ydaD_3	1.-.-.-		General stress protein 39
DDJNIECG_01090	CDS	234				hypothetical protein
DDJNIECG_01091	CDS	579	comK		COG4903	Competence transcription factor
DDJNIECG_01092	CDS	900	yghA	1.-.-.-		putative oxidoreductase YghA
DDJNIECG_01093	CDS	270				hypothetical protein
DDJNIECG_01094	CDS	1470	yodF_1		COG0591	putative symporter YodF
DDJNIECG_01095	CDS	201				hypothetical protein
DDJNIECG_01096	CDS	363				hypothetical protein
DDJNIECG_01097	CDS	624	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
DDJNIECG_01098	CDS	507	sipV	3.4.21.89	COG0681	Signal peptidase I V
DDJNIECG_01099	CDS	1497	otcC	1.14.13.38		Anhydrotetracycline monooxygenase
DDJNIECG_01100	CDS	528				hypothetical protein
DDJNIECG_01101	CDS	1206	glcP		COG0738	Glucose/mannose transporter GlcP
DDJNIECG_01102	CDS	1053	ntdC	1.1.1.361	COG0673	Glucose-6-phosphate 3-dehydrogenase
DDJNIECG_01103	CDS	849	ntdB	3.1.3.92	COG0561	Kanosamine-6-phosphate phosphatase
DDJNIECG_01104	CDS	1326	ntdA	2.6.1.104	COG0399	3-oxo-glucose-6-phosphate:glutamate aminotransferase
DDJNIECG_01105	CDS	990	cytR		COG1609	HTH-type transcriptional repressor CytR
DDJNIECG_01106	CDS	1155				hypothetical protein
DDJNIECG_01107	CDS	1206	mdtH_2			Multidrug resistance protein MdtH
DDJNIECG_01108	CDS	1728	sgrR		COG4533	HTH-type transcriptional regulator SgrR
DDJNIECG_01109	CDS	327	yhjQ		COG1145	putative cysteine-rich protein YhjQ
DDJNIECG_01110	CDS	438				hypothetical protein
DDJNIECG_01111	CDS	3501	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
DDJNIECG_01112	CDS	3699	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
